Received Time; Local Time;
1465803687574;1465803687600;
1465803687615;1465803687673;
1465803687656;1465803687747;
1465803687697;1465803687821;
0;1465803687898;
0;1465803688032;
1465803687984;1465803688077;
1465803688025;1465803688123;
0;1465803688217;
0;1465803688264;
1465803688230;1465803688311;
1465803688271;1465803688359;
1465803688312;1465803688407;
0;1465803688504;
0;1465803688553;
0;1465803688653;
1465803688599;1465803688705;
1465803688640;1465803688758;
0;1465803688812;
1465803688763;1465803688866;
1465803688804;1465803688918;
0;1465803688969;
1465803688927;1465803689018;
1465803688968;1465803689068;
1465803689009;1465803689117;
0;1465803689167;
1465803689132;1465803689217;
1465803689173;1465803689267;
1465803689214;1465803689317;
1465803689255;1465803689367;
0;1465803689418;
1465803689378;1465803689468;
1465803689419;1465803689519;
1465803689460;1465803689570;
0;1465803689621;
1465803689583;1465803689671;
1465803689624;1465803689722;
1465803689665;1465803689773;
0;1465803689824;
1465803689788;1465803689875;
1465803689829;1465803689925;
1465803689870;1465803689975;
1465803689911;1465803690026;
0;1465803690076;
1465803690034;1465803690127;
1465803690075;1465803690177;
1465803690116;1465803690228;
0;1465803690278;
1465803690239;1465803690329;
1465803690280;1465803690379;
1465803690321;1465803690430;
0;1465803690480;
1465803690444;1465803690531;
1465803690485;1465803690582;
1465803690526;1465803690632;
1465803690567;1465803690683;
0;1465803690733;
1465803690690;1465803690784;
1465803690731;1465803690834;
1465803690772;1465803690885;
0;1465803690935;
1465803690895;1465803690986;
1465803690936;1465803691037;
1465803690977;1465803691087;
0;1465803691138;
1465803691100;1465803691188;
1465803691141;1465803691239;
1465803691182;1465803691289;
0;1465803691340;
1465803691305;1465803691390;
1465803691346;1465803691441;
1465803691387;1465803691492;
1465803691428;1465803691542;
0;1465803691593;
1465803691551;1465803691643;
1465803691592;1465803691694;
1465803691633;1465803691744;
0;1465803691795;
1465803691756;1465803691845;
1465803691797;1465803691896;
1465803691838;1465803691946;
0;1465803691997;
1465803691961;1465803692048;
1465803692002;1465803692098;
1465803692043;1465803692149;
1465803692084;1465803692199;
0;1465803692250;
1465803692207;1465803692300;
1465803692248;1465803692351;
1465803692289;1465803692401;
0;1465803692452;
1465803692412;1465803692503;
1465803692453;1465803692553;
1465803692494;1465803692604;
0;1465803692654;
1465803692617;1465803692705;
1465803692658;1465803692755;
1465803692699;1465803692806;
0;1465803692856;
1465803692822;1465803692907;
1465803692863;1465803692957;
1465803692904;1465803693008;
1465803692945;1465803693059;
0;1465803693109;
1465803693068;1465803693160;
1465803693109;1465803693210;
1465803693150;1465803693261;
0;1465803693311;
1465803693273;1465803693362;
1465803693314;1465803693412;
1465803693355;1465803693463;
0;1465803693514;
1465803693478;1465803693564;
1465803693519;1465803693615;
1465803693560;1465803693665;
1465803693601;1465803693716;
0;1465803693767;
1465803693724;1465803693817;
1465803693765;1465803693867;
1465803693806;1465803693918;
0;1465803693968;
1465803693929;1465803694019;
1465803693970;1465803694070;
1465803694011;1465803694120;
0;1465803694171;
1465803694134;1465803694221;
1465803694175;1465803694272;
1465803694216;1465803694322;
1465803694257;1465803694373;
0;1465803694423;
1465803694380;1465803694474;
1465803694421;1465803694525;
